index,Number_of_atom_types,Bandgap_LDA,Bandgap_HSE06,Atomization Energy,Lattice_parameter,Density,band,Formation_energy,cohesive_energy,cohesive_energy_per_atom,atomic_number_1,atomic_number_2,atomic_number_3,atomic_number_4,atomic_number_5,atomic_volume_1,atomic_volume_2,atomic_volume_3,atomic_volume_4,atomic_volume_5,covalent_radius_bragg_1,covalent_radius_bragg_2,covalent_radius_bragg_3,covalent_radius_bragg_4,covalent_radius_bragg_5,electron_affinity_1,electron_affinity_2,electron_affinity_3,electron_affinity_4,electron_affinity_5,en_pauling_1,en_pauling_2,en_pauling_3,en_pauling_4,en_pauling_5,group_id_1,group_id_2,group_id_3,group_id_4,group_id_5,ionenergies[1]_1,ionenergies[1]_2,ionenergies[1]_3,ionenergies[1]_4,ionenergies[1]_5,period_1,period_2,period_3,period_4,period_5
AlBO3,3,3.0439,4.9601,-8.01568562,3.64135679976897,2.43572945,3.117,67.188537,-36.87047,-7.3740939999999995,13.0,5.0,8.0,0.0,0.0,10.0,4.6,14.0,0.0,0.0,135.0,0.0,65.0,0.0,0.0,0.43283,0.279723,1.4611135,0.0,0.0,1.61,2.04,3.44,0.0,0.0,13.0,13.0,16.0,0.0,0.0,5.9857684,8.298019,13.618054,0.0,0.0,3.0,2.0,2.0,0.0,0.0
LaAlO3,3,3.5006,4.9377,-8.68704458,4.84903640160603,6.801954369,3.4989999999999997,-3.298601,-40.32600600000001,-8.0652012,57.0,13.0,8.0,0.0,0.0,22.5,10.0,14.0,0.0,0.0,0.0,135.0,65.0,0.0,0.0,0.47,0.43283,1.4611135,0.0,0.0,1.1,1.61,3.44,0.0,0.0,3.0,13.0,16.0,0.0,0.0,5.5769,5.9857684,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
KSbO3,3,,0.7932,-6.10496138,3.93105895444059,5.687800465,0.285,-6.611006,-27.034362,-5.4068724,19.0,51.0,8.0,0.0,0.0,45.3,18.4,14.0,0.0,0.0,206.99999999999997,140.0,65.0,0.0,0.0,0.50147,1.046,1.4611135,0.0,0.0,0.82,2.05,3.44,0.0,0.0,1.0,15.0,16.0,0.0,0.0,4.34066354,8.608389,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
HfBeO3,3,3.0272,4.6543,-8.702153424,4.61733875128239,8.67724094,2.887,-20.894053,-39.313145,-7.862629,72.0,4.0,8.0,0.0,0.0,13.6,5.0,14.0,0.0,0.0,0.0,114.99999999999999,65.0,0.0,0.0,0.013999999999999999,-2.4,1.4611135,0.0,0.0,1.3,1.57,3.44,0.0,0.0,4.0,2.0,16.0,0.0,0.0,6.82507,9.322699,13.618054,0.0,0.0,6.0,2.0,2.0,0.0,0.0
Hf2ON2,3,1.8516,3.0373,-10.16768146,4.27225743895443,8.094230133,2.242,-27.150909000000002,-49.678929000000004,-9.935785800000001,72.0,8.0,7.0,0.0,0.0,13.6,14.0,17.3,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.013999999999999999,1.4611135,-1.4,0.0,0.0,1.3,3.44,3.04,0.0,0.0,4.0,16.0,15.0,0.0,0.0,6.82507,13.618054,14.53413,0.0,0.0,6.0,2.0,2.0,0.0,0.0
GeTiO3,3,1.8913,2.9267,-8.051555122,3.8260150667029,4.785768462,1.909,-14.674364,-36.411311,-7.2822622,32.0,22.0,8.0,0.0,0.0,13.6,10.6,14.0,0.0,0.0,0.0,140.0,65.0,0.0,0.0,1.232712,0.079,1.4611135,0.0,0.0,2.01,1.54,3.44,0.0,0.0,14.0,4.0,16.0,0.0,0.0,7.899435,6.82812,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
GeSnO3,3,1.1746,2.3173,-6.62243528,3.97033241721415,6.00384606,0.743,-11.634462,-29.419896,-5.883979200000001,32.0,50.0,8.0,0.0,0.0,13.6,16.3,14.0,0.0,0.0,0.0,140.0,65.0,0.0,0.0,1.232712,1.112067,1.4611135,0.0,0.0,2.01,1.96,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.899435,7.343917,13.618054,0.0,0.0,4.0,5.0,2.0,0.0,0.0
GePbO3,3,,0.1167,-6.107678358,3.78056956614904,6.999029221,0.10300000000000001,-15.310664000000001,-27.058753,-5.4117505999999995,32.0,82.0,8.0,0.0,0.0,13.6,18.3,14.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.232712,0.35674316,1.4611135,0.0,0.0,2.01,1.8,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.899435,7.4166796,13.618054,0.0,0.0,4.0,6.0,2.0,0.0,0.0
CsTaO3,3,2.4258,3.7004,-8.171520224,4.01944319055106,8.792342274,3.187,-7.7979161999999995,-35.61786,-7.123572,55.0,73.0,8.0,0.0,0.0,70.0,10.9,14.0,0.0,0.0,237.0,0.0,65.0,0.0,0.0,0.47162600000000005,0.322,1.4611135,0.0,0.0,0.79,1.5,3.44,0.0,0.0,1.0,5.0,16.0,0.0,0.0,3.893905548,7.54957,13.618054,0.0,0.0,6.0,6.0,2.0,0.0,0.0
CsMnN3,3,,0.052,-6.651084872,5.65928675643809,5.305547327,0.011000000000000001,-16.678936,-38.116384,-7.623276799999999,55.0,25.0,7.0,0.0,0.0,70.0,7.39,17.3,0.0,0.0,237.0,147.0,65.0,0.0,0.0,0.47162600000000005,0.0,-1.4,0.0,0.0,0.79,1.55,3.04,0.0,0.0,1.0,7.0,15.0,0.0,0.0,3.893905548,7.434018,14.53413,0.0,0.0,6.0,4.0,2.0,0.0,0.0
CsIrN3,3,,0.0052,-6.676046728,3.88157424123184,7.350366804,0.013000000000000001,-9.567432,-29.100426,-5.820085199999999,55.0,77.0,7.0,0.0,0.0,70.0,8.54,17.3,0.0,0.0,237.0,0.0,65.0,0.0,0.0,0.47162600000000005,1.5638,-1.4,0.0,0.0,0.79,2.2,3.04,0.0,0.0,1.0,9.0,15.0,0.0,0.0,3.893905548,8.96702,14.53413,0.0,0.0,6.0,6.0,2.0,0.0,0.0
CdSiO3,3,0.4925,2.3181,-6.742354736,3.89891258567487,6.989842359,0.654,-17.421595,-29.422649,-5.8845298,48.0,14.0,8.0,0.0,0.0,13.1,12.1,14.0,0.0,0.0,160.0,117.0,65.0,0.0,0.0,0.0,1.3895211,1.4611135,0.0,0.0,1.69,1.9,3.44,0.0,0.0,12.0,14.0,16.0,0.0,0.0,8.993822,8.151683,13.618054,0.0,0.0,5.0,3.0,2.0,0.0,0.0
CaTiO3,3,2.0007,3.4786,-8.424398778,3.83854627109805,3.973795928,1.97,-16.673451999999997,-38.364569,-7.672913800000001,20.0,22.0,8.0,0.0,0.0,29.9,10.6,14.0,0.0,0.0,170.0,140.0,65.0,0.0,0.0,0.02455,0.079,1.4611135,0.0,0.0,1.0,1.54,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,6.1131552,6.82812,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
CaSiO3,3,4.2891,6.2151,-7.997728334,3.90568420290933,4.356421097,3.447,-22.025154999999998,-35.865924,-7.1731848,20.0,14.0,8.0,0.0,0.0,29.9,12.1,14.0,0.0,0.0,170.0,117.0,65.0,0.0,0.0,0.02455,1.3895211,1.4611135,0.0,0.0,1.0,1.9,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,6.1131552,8.151683,13.618054,0.0,0.0,4.0,3.0,2.0,0.0,0.0
CaHfO3,3,3.6712,5.3184,-8.791517498,4.14182516446812,6.703907401,3.6910000000000003,-7.060864,-40.25903,-8.051806000000001,20.0,72.0,8.0,0.0,0.0,29.9,13.6,14.0,0.0,0.0,170.0,0.0,65.0,0.0,0.0,0.02455,0.013999999999999999,1.4611135,0.0,0.0,1.0,1.3,3.44,0.0,0.0,2.0,4.0,16.0,0.0,0.0,6.1131552,6.82507,13.618054,0.0,0.0,4.0,6.0,2.0,0.0,0.0
CaGeO3,3,1.0898,2.8409,-7.123175834,4.29114195541326,5.193465776,0.043,-20.109007000000002,-31.718325999999994,-6.3436651999999984,20.0,32.0,8.0,0.0,0.0,29.9,13.6,14.0,0.0,0.0,170.0,0.0,65.0,0.0,0.0,0.02455,1.232712,1.4611135,0.0,0.0,1.0,2.01,3.44,0.0,0.0,2.0,14.0,16.0,0.0,0.0,6.1131552,7.899435,13.618054,0.0,0.0,4.0,4.0,2.0,0.0,0.0
LaBO3,3,4.0399,5.8861,-8.94616928,5.75922820853499,5.769372589,3.696,85.784379,-41.900999,-8.3801998,57.0,5.0,8.0,0.0,0.0,22.5,4.6,14.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.47,0.279723,1.4611135,0.0,0.0,1.1,2.04,3.44,0.0,0.0,3.0,13.0,16.0,0.0,0.0,5.5769,8.298019,13.618054,0.0,0.0,6.0,2.0,2.0,0.0,0.0
PbSiO3,3,1.6414,3.0182,-7.392531664,3.44578751717513,8.473360339,1.882,-11.235648,-32.978053,-6.5956106000000005,82.0,14.0,8.0,0.0,0.0,18.3,12.1,14.0,0.0,0.0,0.0,117.0,65.0,0.0,0.0,0.35674316,1.3895211,1.4611135,0.0,0.0,1.8,1.9,3.44,0.0,0.0,14.0,14.0,16.0,0.0,0.0,7.4166796,8.151683,13.618054,0.0,0.0,6.0,3.0,2.0,0.0,0.0
